,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,49,49,49,49,49,49,49,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,69,69,69,69,69,69,69,0,0,0,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,53,53,53,53,53,53,53,53,0,0,0,0,94,94,94,94,94,94,94,94,0,0,0,0,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,49,49,49,49,49,49,49,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,0,0,0,0,0,5,5,5,5,5,5,5,5,0,0,0,0,69,69,69,69,69,69,69,69,0,0,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,53,53,53,53,53,53,0,0,0,0,94,94,94,94,94,94,94,94,94,0,0,0,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44
2,49,49,49,49,49,49,0,0,0,0,57,57,57,57,57,57,32,32,32,32,32,32,32,0,0,0,0,0,0,0,5,5,5,5,5,5,5,0,0,0,0,69,69,69,69,69,69,69,69,0,0,0,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,53,53,53,53,53,0,0,0,0,0,94,94,94,94,94,94,94,94,94,0,0,0,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44
3,49,49,49,49,49,49,0,0,0,0,57,57,57,57,57,57,0,0,0,0,0,73,73,73,73,73,73,73,0,0,0,0,5,5,5,5,0,0,0,0,0,69,69,69,69,69,69,69,69,0,0,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,0,0,0,0,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44
4,49,49,49,49,49,0,0,0,57,57,57,57,57,57,57,57,0,0,0,0,0,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,0,0,0,0,0,69,69,69,69,69,69,69,69,0,0,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,94,94,94,94,94,94,94,0,0,0,0,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44
5,49,49,49,49,49,0,0,0,57,57,57,57,57,57,57,57,0,0,0,0,73,73,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,0,0,0,0,69,69,69,69,69,69,69,0,0,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,94,94,94,94,0,0,0,0,0,0,0,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44
6,0,0,0,0,0,0,0,0,57,57,57,57,57,57,57,57,0,0,0,0,73,73,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,0,0,78,78,0,0,69,69,69,69,0,0,0,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,0,94,94,0,0,0,0,0,107,107,107,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44
7,0,0,0,0,0,0,0,0,57,57,57,57,57,57,57,57,0,0,0,0,73,73,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,0,78,78,78,78,78,0,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,107,107,107,107,107,107,107,107,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44
8,0,0,0,0,0,0,0,0,0,57,57,57,57,57,57,57,0,0,0,0,73,73,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,78,78,78,78,78,78,78,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,0,6,6,6,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,107,107,107,107,107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44
9,0,0,0,0,0,0,0,0,0,57,57,57,57,57,57,0,0,0,0,0,0,73,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,78,78,78,78,78,78,78,78,0,0,0,0,0,0,36,36,36,36,36,36,36,36,6,6,6,6,6,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,107,107,107,107,107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44
